"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"30912746","PMC6459677","10.7554/eLife.43882","","","",1,"",""
"32001644","PMC7029782","10.1126/science.aaz6695","","","",1,"",""
"31260443","PMC6625733","10.1371/journal.pcbi.1007082","","","",1,"",""
"28197151","PMC5281575","10.3389/fimmu.2017.00061","","","",1,"",""
"25043024","PMC4301845","10.1038/nature13490","","","",1,"",""
"31768073","PMC6923570","10.1038/s41590-019-0539-2","","","",1,"",""
"30343672","PMC6196420","10.1186/s13059-018-1547-5","","","",1,"",""
"29945450","PMC6089608","10.1021/acs.jproteome.8b00257","","","",1,"",""
"23135997","PMC3541962","10.1091/mbc.E12-09-0670","","","",1,"",""
"24767987","PMC4049626","10.1016/j.celrep.2014.03.057","","","",1,"",""
"30072488","PMC6204083","10.1042/EBC20180014","","","",1,"",""
"31081635","PMC6737531","10.1021/acs.jproteome.9b00039","","","",1,"",""
"30282776","PMC6317479","10.1074/mcp.TIR118.000947","","","",1,"",""
"21525243","PMC3113766","10.1091/mbc.E11-02-0132","","","",1,"",""
"22065748","PMC3223432","10.1073/pnas.1116998108","","","",1,"",""
"22456505","PMC3350561","10.1091/mbc.E11-11-0961","","","",1,"",""
"23685454","PMC3683364","10.1038/nature12172","","","",1,"",""
"24919153","PMC4193940","10.1038/nature13437","","","",1,"",""
"23746840","PMC3804311","10.1016/j.cell.2013.05.016","","","",1,"",""
"30473427","PMC6340777","10.1016/j.tibs.2018.10.009","","","",1,"",""
"28065596","PMC5250569","10.1016/j.molcel.2016.12.005","","","",1,"",""
"30755466","PMC6495250","10.1074/mcp.TIR118.001131","","","",1,"",""
"","","10.1038/s41592-019-0540-6","","","",0,"","invalid article id"
"","","10.1016/j.cell.2020.02.041","","","",0,"","invalid article id"
"","","10.1146/annurev-physiol-022516-034339","","","",0,"","invalid article id"
"","","10.1038/s41556-018-0217-x","","","",0,"","invalid article id"
"","","10.1038/nmeth.2015","","","",0,"","invalid article id"
"","","10.1101/399774","","","",0,"","invalid article id"
"","","10.1016/j.cbpa.2020.04.018","","","",0,"","invalid article id"
"","","10.1101/665307","","","",0,"","invalid article id"
"","","10.1016/j.cell.2017.11.011","","","",0,"","invalid article id"
"","","10.1016/j.celrep.2016.09.008","","","",0,"","invalid article id"
"","","10.1016/j.immuni.2015.02.005","","","",0,"","invalid article id"
